"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "HTML", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\emailField_forgetpassword.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 8, 61
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\email_textfield.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 2, 6, 49
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\email_textfield_register.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 7, 51
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\forgetPasswordColumn.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\go_to_signUp.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 3, 33
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\register_button.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\signIn_button.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\widget1.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 60
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\ChatPage.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 3, 6, 109
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\manager\chatCuibt.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 9, 14, 111
